,Star_name,Distance,Mass,Radius
259,WISE 0819-0335,,,46
260,WISE 0821+1443,,,68.2
261,WISE 0836-1859,,,72.4
262,WISE 0857+5604,,,42.1
263,WISE 0906+4735,,,51.5
264,WISE 0929+0409,,,64.9
265,WISE 0952+1955,,,72.1
266,WISE 1018-2445,,,47.6
267,WISE 1019+6529,,,56.8
268,WISE 1039-1600,,,47.3
269,WISE 1042-3842,,,53.2
270,WISE 1051-2138,,,40.8
271,WISE 1122+2550,,,57.7
272,WISE 1124-0421,,,50.6
273,WISE 1147-2040,,,102
274,WISE 1150+6302,,,32.9
275,WISE 1217+1626A,,12,34.2
276,WISE 1217+1626B,,6,34.2
277,WISE 1225-1013,,,55.4
278,WISE 1311+0122,,,44.4
279,WISE 1311+3629,,,86.1
280,WISE 1318-1758,,,32.9
281,WISE 1320+6034,,,56.1
282,WISE 1322-2340,,,33.9
283,WISE 1348+6603,,,91
284,WISE 1405+5534,0.86,30,25.3
285,WISE 1433-0837,,,84.8
286,WISE 1436-1814,,,60
287,WISE 1457+5815,,,52.2
288,WISE 1506+7027,,,11.1
289,WISE 1517+0529,,,72.4
290,WISE 1519+7009,,,50.9
291,WISE 1523+3125,,,84.5
292,WISE 1541-2250,,,20
293,WISE 1542+2230,,,41.1
294,WISE 1612-3420,,,55.4
295,WISE 1614+1739,,,32.6
296,WISE 1617+1807,,,50.2
297,WISE 1622-0959,,,52.2
298,WISE 1627+3255,,,50.2
299,WISE 1639-6847,,,16.3
300,WISE 1647+5632,,,28
301,WISE 1653+4444,,,39.5
302,WISE 1711+3500,,,60.3
303,WISE 1717+6129,,,72.7
304,WISE 1721+1117,,,62.3
305,WISE 1728+5716,,,97.8
306,WISE 1738+2732,,,20
307,WISE 1741+2553,,,18.9
308,WISE 1746-0338,,,83.8
309,WISE 1800+0134,,57,28.7
310,WISE 1804+3117,,,30
311,WISE 1809+3838,,,74.4
312,WISE 1812+2721,,,47
313,WISE 1828+2650,,,36
314,WISE 1830+4542,,,107
315,WISE 1841+7000,,,131.1
316,WISE 1852+3537,,,55.4
317,WISE 1906+4508,,,51.5
318,WISE 1928+2356,,,22.8
319,WISE 1952+7240,,,44.4
320,WISE 1959-3338,,,37.2
321,WISE 2030+0749,,,34.2
322,WISE 2014+0424,,,96.2
323,WISE 2015+6646,,,50.6
324,WISE 2018-7423,,,47.9
325,WISE 2019-1148,,,42.4
326,WISE 2056+1459,,,24.5
327,WISE 2134-7137,,,42.7
328,WISE 2157+2659,,,61.6
329,WISE 2209-2734,,,46
330,WISE 2213+0911,,,58.7
331,WISE 2220-3628,,,26.4
332,WISE 2226+0440,,,45
333,WISE 2237-0614,,,53.5
334,WISE 2237+7228,,,46
335,WISE 2239+1617,,,59.7
336,WISE 2255-3118,,,44.7
337,WISE 2301+0216,,,60.7
338,WISE 2313-8037,,,35.9
339,WISE 2319-1844,,,52.2
340,WISE 2325-4105,,,37.5
341,WISE 2327-2730,,,70.8
342,WISE 2335+4222,,,90.3
343,WISE 2340-0745,,,37.8
344,WISE 2342+0856,,,51.2
345,WISE 2343-7418,,,48.6
346,WISE 2344+1034,,,46
347,WISE 2348-1028,,,54.1
348,WISE 2357+1227,,,54.8
349,WISE 2359-7335,,,42.7
350,WISEA 1101+5400,,,111
351,2M1510,,40 + 39 + ?,120
